,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
261,openmp,1,1,1,1,1.0,0.003,0.00389501655892,0.0028698545281
262,cilk,1,1,1,1,1.0,0.001,0.00129833885297,0.000956618176034
263,cilk,1,1,8,1,1.0,0.001,0.00129833885297,0.000956618176034
264,cilk,1,1,16,1,1.0,0.002,0.00259667770594,0.00191323635207
265,cilk,1,1,48,1,1.0,0.002,0.00259667770594,0.00191323635207
266,sequential,1,1,1,1,2.0,0.006,0.00779003311783,0.0057397090562
267,pthread,1,1,1,1,2.0,0.185,0.2401926878,0.176974362566
268,pthread,1,1,8,1,2.0,0.196,0.254474415182,0.187497162503
269,pthread,1,1,16,1,2.0,0.202,0.2622644483,0.193236871559
270,pthread,1,1,48,1,2.0,0.137,0.177872422857,0.131056690117
271,openmp,1,1,1,1,2.0,0.012,0.0155800662357,0.0114794181124
272,cilk,1,1,1,1,2.0,0.007,0.0090883719708,0.00669632723224
273,cilk,1,1,8,1,2.0,0.042,0.0545302318248,0.0401779633934
274,cilk,1,1,16,1,2.0,0.03,0.0389501655892,0.028698545281
275,cilk,1,1,48,1,2.0,0.007,0.0090883719708,0.00669632723224
276,sequential,1,1,1,5,1.0,0.002,0.00259667770594,0.00191323635207
277,pthread,1,1,1,5,1.0,0.096,0.124640529885,0.0918353448992
278,pthread,1,1,8,5,1.0,0.107,0.138922257268,0.102358144836
279,pthread,1,1,16,5,1.0,0.115,0.149308968092,0.110011090244
280,pthread,1,1,48,5,1.0,0.205,0.266159464859,0.196106726087
281,openmp,1,1,1,5,1.0,0.008,0.0103867108238,0.00765294540827
282,cilk,1,1,1,5,1.0,0.008,0.0103867108238,0.00765294540827
283,cilk,1,1,8,5,1.0,1.798,2.33441325764,1.71999948051
284,cilk,1,1,16,5,1.0,0.004,0.00519335541189,0.00382647270414
285,cilk,1,1,48,5,1.0,2.023,2.62653949956,1.93523857012
286,sequential,1,1,1,5,2.0,0.023,0.0298617936184,0.0220022180488
287,pthread,1,1,1,5,2.0,0.23,0.298617936184,0.220022180488
288,pthread,1,1,8,5,2.0,0.24,0.311601324713,0.229588362248
289,pthread,1,1,16,5,2.0,0.227,0.294722919625,0.21715232596
290,pthread,1,1,48,5,2.0,0.236,0.306407969301,0.225761889544
291,openmp,1,1,1,5,2.0,0.045,0.0584252483837,0.0430478179215
292,cilk,1,1,1,5,2.0,0.186,0.241491026653,0.177930980742
293,cilk,1,1,8,5,2.0,0.312,0.405081722127,0.298464870923
294,cilk,1,1,16,5,2.0,0.227,0.294722919625,0.21715232596
295,cilk,1,1,48,5,2.0,1.497,1.9436132629,1.43205740952
296,sequential,10,10,1,1,1.0,0.015,0.0194750827946,0.0143492726405
297,pthread,10,10,1,1,1.0,0.206,0.267457803712,0.197063344263
298,pthread,10,10,8,1,1.0,0.725,0.941295668405,0.693548177624
299,pthread,10,10,16,1,1.0,0.874,1.1347481575,0.836084285854
300,pthread,10,10,48,1,1.0,0.698,0.906240519374,0.667719486872
301,openmp,10,10,1,1,1.0,14.795,19.2089233297,14.1531659144
302,cilk,10,10,1,1,1.0,0.067,0.0869887031491,0.0640934177943
303,cilk,10,10,8,1,1.0,0.339,0.440136871157,0.324293561675
304,cilk,10,10,16,1,1.0,0.447,0.580357467278,0.427608324687
305,cilk,10,10,48,1,1.0,2.11,2.73949497977,2.01846435143
306,sequential,10,10,1,1,2.0,0.383,0.497263780688,0.366384761421
307,pthread,10,10,1,1,2.0,0.905,1.17499666194,0.865739449311
308,pthread,10,10,8,1,2.0,0.899,1.16720662882,0.859999740254
309,pthread,10,10,16,1,2.0,1.038,1.34767572938,0.992969666723
310,pthread,10,10,48,1,2.0,1.091,1.41648768859,1.04367043005
311,openmp,10,10,1,1,2.0,29.249,37.9751131106,27.9801250308
312,cilk,10,10,1,1,2.0,1.26,1.63590695474,1.2053389018
313,cilk,10,10,8,1,2.0,1.289,1.67355878148,1.23308082891
314,cilk,10,10,16,1,2.0,2.607,3.3847693897,2.49390358492
315,cilk,10,10,48,1,2.0,0.512,0.664749492722,0.489788506129
316,sequential,10,10,1,5,1.0,0.075,0.0973754139729,0.0717463632025
317,pthread,10,10,1,5,1.0,0.238,0.309004647007,0.227675125896
318,pthread,10,10,8,5,1.0,0.766,0.994527561377,0.732769522842
319,pthread,10,10,16,5,1.0,0.871,1.13085314094,0.833214431325
320,pthread,10,10,48,5,1.0,0.887,1.15162656259,0.848520322142
321,openmp,10,10,1,5,1.0,57.743,74.9699803872,55.2380033387
322,cilk,10,10,1,5,1.0,3.392,4.40396538928,3.24484885311
323,cilk,10,10,8,5,1.0,0.671,0.871185370344,0.641890796119
324,cilk,10,10,16,5,1.0,12.059,15.656668228,11.5358585848
325,cilk,10,10,48,5,1.0,0.629,0.816655138519,0.601712832725
326,sequential,10,10,1,5,2.0,2.013,2.61355611103,1.92567238836
327,pthread,10,10,1,5,2.0,2.988,3.87943649268,2.85837510999
328,pthread,10,10,8,5,2.0,1.768,2.29546309205,1.69130093523
329,pthread,10,10,16,5,2.0,1.918,2.49021392,1.83479366163
330,pthread,10,10,48,5,2.0,1.926,2.50060063082,1.84244660704
331,openmp,10,10,1,5,2.0,73.018,94.8021063663,69.8503459776
332,cilk,10,10,1,5,2.0,10.748,13.9545459917,10.281732156
333,cilk,10,10,8,5,2.0,2.368,3.07446640384,2.26527184085
334,cilk,10,10,16,5,2.0,3.799,4.93238930244,3.63419245075
335,cilk,10,10,48,5,2.0,1.92,2.49281059771,1.83670689798
336,sequential,100,100,1,1,1.0,1.505,1.95399997372,1.43971035493
337,pthread,100,100,1,1,1.0,3.071,3.98719861748,2.9377744186
338,pthread,100,100,8,1,1.0,1.51,1.96049166799,1.44449344581
339,pthread,100,100,16,1,1.0,2.547,3.30686905852,2.43650649436
340,pthread,100,100,48,1,1.0,4.892,6.35147366874,4.67977611716
341,openmp,100,100,1,1,1.0,84.787,110.082256327,81.1087852914
